timestamp,symbol,event,side,mode,price,size,margin_used,pnl_pct,pnl_usdt,balance,entry_type,score,score_adjusted,killzone,dow,regime,adx_value,adx_bull,htf_range_pos,htf_label,sqz_quadrant,sqz_on,ob_bull_dist_pct,ob_bear_dist_pct,compression_state,candle_count,mae_pct,mfe_pct,duration_minutes,exit_reason,ob_width_pct,pending_distance_pct,note
2026-05-20T22:14:24.451239,BTC/USDT:USDT,open_short_standalone,short,paper,70624.5,0.002549,60.01,,,4944.25,C,1,-1,London_Open,6,trending,48.7,True,0.9184480089588621,PREM,,False,,,,0,,,,,,,sizing=0.60
2026-05-20T22:14:24.681230,BTC/USDT:USDT,tp1_short,short,paper,69832.2,0.0005098,,1.12,0.4,4956.66,,2,2,,2,trending,35.5,True,0.5940324525688626,MID,,False,,,,0,-1.201,1.122,0.0,tp1,,,
2026-05-20T22:14:24.704190,BTC/USDT:USDT,tp2_short,short,paper,68694.0,0.00040784,,2.73,0.79,4967.05,,2,2,,2,trending,35.5,True,0.5940324525688626,MID,,False,,,,0,-1.201,2.733,0.0,tp2,,,
2026-05-20T22:14:25.137995,BTC/USDT:USDT,tp3_short,short,paper,68143.6,0.000489408,,3.51,1.21,4979.78,,2,3,,2,trending,27.5,True,0.05899932080597822,DISC,,False,,,,0,-1.201,3.513,0.0,tp3,,,
2026-05-20T22:14:26.305942,BTC/USDT:USDT,short_trail_close,short,paper,69731.3,0.0011419520000000001,,1.26,1.02,5007.69,,0,-2,,2,ranging,22.1,True,0.8705972574725661,PREM,,False,,,,0,-1.201,7.42,0.0,trail,,,
2026-05-20T22:14:29.132257,BTC/USDT:USDT,open_short_standalone,short,paper,65860.4,0.003188,69.99,,,4937.7,C,2,2,Asia_Open,2,expansion,30.7,True,0.4800207576543844,MID,,False,,,,0,,,,,,,sizing=0.70
2026-05-20T22:14:29.178259,BTC/USDT:USDT,tp1_short,short,paper,64847.9,0.0006376,,1.54,0.65,4952.34,,1,1,,2,expansion,28.6,True,0.44676280013062236,MID,,False,,,,0,0.0,1.537,0.0,tp1,,,
2026-05-20T22:14:29.281914,BTC/USDT:USDT,dca_short_1,short,paper,66936.9,0.002241,50.0,-1.63,,4902.34,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:29.321876,BTC/USDT:USDT,dca_short_2,short,paper,68625.6,0.003279,75.01,-3.41,,4827.33,,,,,2,,,,,,,,,,,,,,,,,,
2026-05-20T22:14:29.357957,BTC/USDT:USDT,short_trail_close,short,paper,69104.9,0.008070399999999998,,-2.71,-14.7,4993.63,,3,1,,2,expansion,28.4,True,0.7306279862582761,PREM,,False,,,,0,-3.408,1.537,0.0,trail,,,
